russian,english
я,I
ты,you
он,he
она,she
оно,it
мы,we
вы,you
они,they
быть,be
иметь,have
делать,do
сказать,say
получать,get
идти,go
знать,know
думать,think
смотреть,see
приходить,come
хотеть,want
давать,give
использовать,use
находить,find
рассказывать,tell
спрашивать,ask
работать,work
казаться,seem
чувствовать,feel
пытаться,try
оставаться,stay
держать,keep
останавливаться,stop
говорить,speak
помогать,help
показывать,show
слышать,hear
играть,play
бежать,run
двигаться,move
жить,live
верить,believe
брать,take
происходить,happen
писать,write
сидеть,sit
стоять,stand
терять,lose
платить,pay
встречать,meet
включать,include
продолжать,continue
устанавливать,set
учиться,learn
менять,change
вести,lead
понимать,understand
наблюдать,watch
следовать,follow
уезжать,leave
позволять,allow
добавлять,add
называть,call
начинать,begin
появляться,appear
значить,mean
носить,wear
покупать,buy
подниматься,rise
выбирать,choose
падать,fall
течь,flow
бить,beat
поднимать,lift
готовить,cook
разговаривать,talk
молчать,remain
нести,carry
ломать,break
петь,sing
закрывать,close
достигать,reach
решать,decide
надеяться,hope
слушать,listen
путешествовать,travel
есть,eat
расти,grow
открывать,open
ходить,walk
побеждать,win
учить,teach
предлагать,offer
помнить,remember
рассматривать,consider
содержать,contain
зависеть,depend
вовлекать,involve
строить,build
улучшать,improve
поддерживать,support
собирать,gather
управлять,manage
развивать,develop
служить,serve
создавать,create
проходить,pass
продавать,sell
нуждаться,need
становиться,become
уменьшать,reduce
представлять,represent
применять,apply
формировать,form
существовать,exist
возникать,arise
влиять,affect
соединять,connect
предоставлять,provide
производить,produce
полагаться,rely
входить,enter
отражать,reflect
объявлять,announce
заканчивать,finish
приобретать,acquire
оценивать,assess
увеличиваться,increase
обращать внимание,attend
привлекать,attract
основывать,base
приносить,bring
конструировать,construct
демонстрировать,demonstrate
обеспечивать,ensure
расширять,expand
объяснять,explain
способствовать,facilitate
фокусироваться,focus
генерировать,generate
идентифицировать,identify
иллюстрировать,illustrate
реализовывать,implement
подразумевать,imply
указывать,indicate
инициировать,initiate
интегрировать,integrate
предназначать,intend
исследовать,investigate
участвовать,participate
воспринимать,perceive
выполнять,perform
предпочитать,prefer
предотвращать,prevent
обрабатывать,process
требовать,require
резюмировать,summarize
передавать,transmit
обновлять,update
проверять,verify
предупреждать,warn
осознавать,realize
признавать,recognize
отвечать,respond
восстанавливать,restore
сохранять,retain
искать,seek
делиться,share
адаптироваться,adapt
анализировать,analyze
исполнять,execute
инициализировать,initialize
интерпретировать,interpret
локализовать,localize
модифицировать,modify
оптимизировать,optimize
организовывать,organize
персонализировать,personalize
предсказывать,predict
приоритизировать,prioritize
рекомендовать,recommend
синхронизировать,synchronize
трансформировать,transform
визуализировать,visualize
дом,house
машина,car
время,time
рука,hand
глаз,eye
день,day
место,place
сторона,side
страна,country
город,city
дорога,road
мир,world
земля,land
вещь,thing
жизнь,life
школа,school
деньги,money
история,history
группа,group
система,system
часть,part
ребенок,child
женщина,woman
мужчина,man
слово,word
работа,job
вопрос,question
комната,room
друг,friend
семья,family
государство,state
дело,matter
точка,point
помощь,help
информация,information
идея,idea
власть,power
проблема,problem
час,hour
номер,number
голос,voice
период,period
центр,center
сила,force
свет,light
конец,end
голова,head
дверь,door
стена,wall
улица,street
сердце,heart
ум,mind
любовь,love
война,war
вода,water
мать,mother
звук,sound
момент,moment
воздух,air
огонь,fire
миллион,million
сон,sleep
гость,guest
кровь,blood
миллиард,billion
утро,morning
ночь,night
обед,lunch
ужин,dinner
завтрак,breakfast
окно,window
книга,book
письмо,letter
мастер,master
музыка,music
тело,body
нога,leg
шея,neck
спина,back
нос,nose
рот,mouth
зуб,tooth
язык,language
ноготь,nail
палец,finger
ладонь,palm
локоть,elbow
колено,knee
плечо,shoulder
грудь,chest
живот,stomach
бедро,hip
лодыжка,ankle
пятка,heel
носок,sock
ботинок,boot
туфля,shoe
платье,dress
рубашка,shirt
брюки,pants
куртка,jacket
пальто,coat
шляпа,hat
перчатки,gloves
сумка,bag
кошелек,wallet
ключ,key
банк,bank
магазин,shop
рынок,market
ресторан,restaurant
кафе,cafe
отель,hotel
аэропорт,airport
поезд,train
автобус,bus
велосипед,bicycle
корабль,ship
самолет,plane
звезда,star
луна,moon
солнце,sun
небо,sky
облако,cloud
дождь,rain
снег,snow
ветер,wind
гром,thunder
молния,lightning
радуга,rainbow
цветок,flower
дерево,tree
трава,grass
лист,leaf
плод,fruit
яблоко,apple
апельсин,orange
банан,banana
виноград,grape
клубника,strawberry
вишня,cherry
арбуз,watermelon
дыня,melon
огурец,cucumber
помидор,tomato
картофель,potato
морковь,carrot
лук,onion
чеснок,garlic
хлеб,bread
молоко,milk
сыр,cheese
яйцо,egg
мясо,meat
рыба,fish
курица,chicken
суп,soup
рис,rice
макароны,pasta
хлопья,cereal
кофе,coffee
чай,tea
сок,juice
вино,wine
пиво,beer
сахар,sugar
соль,salt
перец,pepper
масло,butter
ягода,berry
гриб,mushroom
орех,nut
семя,seed
зерно,grain
мед,honey
варенье,jam
мороженое,ice cream
торт,cake
пирог,pie
печенье,cookie
шоколад,chocolate
конфета,candy
фрукт,fruit
овощ,vegetable
уксус,vinegar
майонез,mayonnaise
горчица,mustard
кетчуп,ketchup
приправа,spice
базилик,basil
петрушка,parsley
укроп,dill
имбирь,ginger
корица,cinnamon
ваниль,vanilla
розмарин,rosemary
тимьян,thyme
мелисса,lemon balm
мята,mint
лавровый лист,bay leaf
черный перец,black pepper
красный перец,red pepper
зеленый лук,green onion
шпинат,spinach
капуста,cabbage
брокколи,broccoli
цветная капуста,cauliflower
салат,lettuce
свекла,beet
редис,radish
репа,turnip
тыква,pumpkin
кабачок,zucchini
баклажан,eggplant
фасоль,beans
горох,peas
кукуруза,corn
гречка,buckwheat
овсянка,oatmeal
манка,semolina
перловка,barley
ячмень,pearl barley
пшено,millet
крупа,cereal
лапша,noodles
мука,flour
дрожжи,yeast
разрыхлитель,baking powder
сахарная пудра,powdered sugar
сгущенка,condensed milk
сливки,cream
йогурт,yogurt
творог,cottage cheese
сметана,sour cream
колбаса,sausage
ветчина,ham
бекон,bacon
сосиски,sausages
креветки,shrimp
кальмары,squid
икра,roe
акула,shark
дельфин,dolphin
кит,whale
тюлень,seal
морж,walrus
медведь,bear
волк,wolf
лиса,fox
заяц,hare
кролик,rabbit
белка,squirrel
еж,hedgehog
барсук,badger
олень,deer
лось,elk
кабан,boar
тигр,tiger
лев,lion
пантера,panther
леопард,leopard
гепард,cheetah
пума,puma
рысь,lynx
кошка,cat
собака,dog
лошадь,horse
корова,cow
свинья,pig
овца,sheep
коза,goat
утка,duck
гусь,goose
индейка,turkey
перепел,quail
фазан,pheasant
страус,ostrich
павлин,peacock
попугай,parrot
канарейка,canary
воробей,sparrow
голубь,pigeon
сова,owl
орел,eagle
сокол,falcon
ястреб,hawk
аист,stork
журавль,crane
лебедь,swan
пингвин,penguin
чайка,seagull
альбатрос,albatross
пеликан,pelican
фламинго,flamingo
соловей,nightingale
жаворонок,lark
дрозд,thrush
синица,tit
ворона,crow
грач,rook
сорока,magpie
скворец,starling
ласточка,swallow
кукушка,cuckoo
филин,eagle owl
беркут,golden eagle
коршун,kite
гриф,vulture